"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"287","P205","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"288","P206","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"289","P207","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"290","P208","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"291","P209","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"292","R-010","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"293","R-011 -Fried Garlic","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"294","R-011-20 kg","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"295","R005","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"296","R015","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"297","S-16790","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"298","S-22599","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"299","Sample","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"300","001","Case",63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:09:55-04","2024-06-14 11:09:55-04",2
"301","005","case",15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-14 11:11:58-04","2024-06-14 11:11:58-04",2
